,caseNumber,gender,age,activity
1957,2001.04.12.c,M,21,Surfing
1958,2001.04.12.b,M,12,Body boarding
1959,2001.04.12.a,M,22,Surfing
1960,2001.04.11.d,M,19,Surfing
1961,2001.04.11.c,M,22,Surfing
1962,2001.04.11.a,M,,Surfing
1963,2001.04.10,,16,Surfing
1964,2001.04.08.b,M,46,Surfing
1965,2001.04.08.a,M,,Snorkeling
1966,2001.04.05,M,26,Standing alongside surfboard
1967,2001.04.02.b,F,12,Batin
1968,2001.04.02.a,M,40,Surfing
1969,2001.03.23,M,,Body-boarding
1970,2001.03.09,M,,Surfing
1971,2001.03.08,M,12,Attempting to catch a crocodile
1972,2001.03.03,M,20,Swimming
1973,2001.03.00,,,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board
1974,2001.02.26,,,Fishing for whiting
1975,2001.02.11,F,,Unknown
1976,2001.02.04,M,40,Surfing
1977,2001.01.24.R,M,35,Kayaking
1978,2001.01.24,F,55,Swimming
1979,2001.01.21 ,,,Fishing
1980,2001.01.09,M,,Surfing
1981,2001.01.06,M,,Kayaking
1982,2000.12.24,M,23,Scuba diving
1983,2000.12.12,M,47,Swimming back from anchored sailboat
1984,2000.12.11,,,Fishing for whiting
1985,2000.12.05,M,30,Diving for sea urchins
1986,2000.12.03,M,38,Spearfishing
1987,2000.12.00,F,,Surfing
1988,2000.11.21,M,28,Diving (shell maintenance)
1989,2000.11.20,M,47,Shipwrecked
1990,2000.11.18,M,73,Swimming
1991,2000.11.10,F,27,Walking
1992,2000.11.06.b,M,52,Swimming
1993,2000.11.06.a,M,49,Swimming
1994,2000.11.04,M,27,Surfing
1995,2000.10.29,,31,Fishing 
1996,2000.10.20,M,23,Surfing
1997,2000.10.18,F,56,Swimming / snorkeling
1998,2000.10.14,M,69,Swimming
1999,2000.10.09,M,17,Surfing
2000,2000.10.06.b,M,23,Surfing
2001,2000.10.06.a,M,11,Body surfing
2002,2000.10.02,M,24,Surfing
2003,2000.09.29,M,,Sitting on surfboard
2004,2000.09.25,M,17,Surfing
2005,2000.09.24,M,25,Surfing
2006,2000.09.18,M,12,Fell onto dead shark
2007,2000.09.16.b,M,31,Surfing
2008,2000.09.16.a,,,
2009,2000.09.15,M,49,Standing / surfing
2010,2000.09.12,F,26,Surfing
2011,2000.09.11,M,25,Swimming / Body surfing
2012,2000.09.10.b,M,8,Swimming
2013,2000.09.10.a,M,48,Free diving
2014,2000.09.08.c,M,28,Swimming
2015,2000.09.08.b,M,40,Wading
2016,2000.09.08.a,M,27,Surfing
2017,2000.09.00.b,,,Swimming
